Date,Day,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestResults,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Province_State,state
2020-04-08,25,41.13232350736968,556.5203370547117,0.0,3.1260565865600953,5.347202055958058,0.0,1.7686899108168963,1.2339697052210905,1.6041606167874174,8.555523289532893,0.7403818231326542,5.347202055958058,597.6526605620815,-0.7403818231326542,34.46888709917579,2.2211454693979626,36.690032568573756,Arkansas,AR
2020-04-09,26,46.02707000474667,568.9422987539374,0.0,3.0026596160379864,5.347202055958058,0.0,1.7686899108168963,1.27510202872846,1.6041606167874174,11.846109170122467,0.8637787936547633,5.347202055958058,614.969368758684,0.0,12.421961699225642,4.894746497376992,17.316708196602633,Arkansas,AR
2020-04-10,27,48.16595082712989,656.019427619039,0.0,3.5373798216337926,5.347202055958058,0.0,1.7686899108168963,1.3573666757431992,1.6041606167874174,12.83328493429934,0.9460434406695026,5.347202055958058,704.1853784461689,0.0,87.07712886510161,2.138880822383223,89.21600968748483,Arkansas,AR
2020-04-11,28,50.42822862003523,713.7280774998786,0.0,3.5373798216337926,5.347202055958058,0.0,1.7686899108168963,1.3573666757431992,1.6041606167874174,13.98498999250569,0.9871757641768723,5.347202055958058,764.1563061199139,0.0,57.70864988083966,2.262277792905332,59.970927673744995,Arkansas,AR
2020-04-12,29,52.64937408943318,758.5623101229116,0.0,3.0437919395453563,5.347202055958058,0.0,1.7686899108168963,1.2339697052210905,1.6041606167874174,15.095562727204673,1.1105727346989813,5.347202055958058,811.2116842123448,0.0,44.834232623032946,2.2211454693979626,47.055378092430914,Arkansas,AR
2020-04-13,30,57.99657614539125,797.7202821019276,0.0,3.0437919395453563,5.347202055958058,0.0,1.7686899108168963,1.151705058206351,1.6041606167874174,16.082738491381544,1.2339697052210905,5.347202055958058,855.7168582473188,0.0,39.15797197901593,5.347202055958058,44.50517403497399,Arkansas,AR
2020-04-14,31,60.875838790907125,808.2912892433216,0.0,3.3317182040969437,5.347202055958058,0.0,1.7686899108168963,1.1928373817137206,1.6041606167874174,17.56350213764685,1.2339697052210905,5.347202055958058,869.1671280342288,0.0,10.571007141394007,2.8792626455158774,13.450269786909885,Arkansas,AR
2020-04-15,32,64.53661558306302,833.5465358768465,0.0,3.4139828511116836,5.347202055958058,0.0,1.7686899108168963,1.0694404111916116,1.6041606167874174,20.113706195103774,1.3573666757431992,5.347202055958058,898.0831514599096,0.0,25.255246633524983,3.6607767921559016,28.916023425680883,Arkansas,AR
2020-04-16,33,66.63436408193888,866.0410714476686,0.0,3.4962474981264227,0.0,0.0,0.0,0.8637787936547633,0.0,22.540513282038585,1.5218959697726782,0.0,932.6754355296075,-5.347202055958058,32.494535570822045,2.0977484988758537,34.592284069697904,Arkansas,AR
2020-04-17,34,69.71928834499161,896.6435201371517,0.0,3.4139828511116836,0.0,0.0,0.0,0.8637787936547633,0.0,24.39146783987022,1.5218959697726782,0.0,966.3628084821431,0.0,30.60244868948304,3.084924263052726,33.68737295253577,Arkansas,AR
2020-04-18,35,71.52911057931587,921.4463112120956,0.0,3.5373798216337926,11.969506140644576,0.0,0.0,0.9049111171621329,2.3445424399200716,28.916023425680883,1.5630282932800477,11.969506140644576,992.9754217914115,11.969506140644576,24.802791074943915,1.8098222343242658,26.612613309268184,Arkansas,AR
2020-04-19,36,73.2566681666254,922.5157516232872,0.0,3.6196444686485316,11.969506140644576,0.0,0.0,1.028308087684242,2.3445424399200716,29.656405248813538,1.645292940294787,11.969506140644576,995.7724197899125,0.0,1.0694404111916116,1.7275575873095266,2.7969979985011384,Arkansas,AR
2020-04-20,37,79.09745810467189,1013.0891279865151,0.0,3.82530608618538,11.969506140644576,0.0,0.0,0.9871757641768723,2.3445424399200716,30.808110307019888,1.7275575873095266,11.969506140644576,1092.186586091187,0.0,90.57337636322802,5.840789938046495,96.41416630127452,Arkansas,AR
2020-04-21,38,91.60168445091227,1037.1104049148191,0.0,3.5373798216337926,11.969506140644576,0.0,0.0,1.1105727346989813,2.3445424399200716,33.276049717462065,1.7686899108168963,11.969506140644576,1128.7120893657313,0.0,24.02127692830389,12.504226346240381,36.52550327454427,Arkansas,AR
2020-04-22,39,93.61716830277338,1128.5475600717018,0.0,3.9898353802148585,11.969506140644576,0.0,0.0,0.9460434406695026,2.3445424399200716,35.49719518686003,1.7275575873095266,11.969506140644576,1222.1647283744753,0.0,91.4371551568828,2.0154838518611142,93.45263900874392,Arkansas,AR
2020-04-23,40,101.39117744566626,1197.9789221521419,0.0,4.154364674244338,11.969506140644576,0.0,0.0,0.9871757641768723,2.3445424399200716,37.10135580364745,1.8509545578316355,11.969506140644576,1299.3700995978081,0.0,69.43136208044002,7.774009142892869,77.20537122333288,Arkansas,AR
2020-04-24,41,112.74369873370028,1350.6621070114982,0.0,4.154364674244338,11.969506140644576,0.0,0.0,0.9871757641768723,2.3445424399200716,38.21192853834643,1.8509545578316355,11.969506140644576,1463.4058057451984,0.0,152.68318485935623,11.352521288034032,164.03570614739027,Arkansas,AR
2020-04-25,42,116.36334320234883,1448.8449632235895,0.0,4.277761644766446,11.969506140644576,0.0,0.0,1.028308087684242,2.3445424399200716,39.651559861104374,1.9332192048463748,11.969506140644576,1565.2083064259384,0.0,98.18285621209142,3.6196444686485316,101.80250068073995,Arkansas,AR
2020-04-26,43,120.97016343517423,1502.4815130771997,0.0,4.277761644766446,11.969506140644576,0.0,0.0,1.028308087684242,2.3445424399200716,40.515338654759134,2.0154838518611142,11.969506140644576,1623.451676512374,0.0,53.63654985361006,4.606820232825404,58.24337008643547,Arkansas,AR
2020-04-27,44,124.09622002173431,1539.994192115921,0.0,4.483423262303295,0.0,0.0,0.0,1.028308087684242,0.0,40.59760330177387,2.056616175368484,0.0,1664.090412137655,-11.969506140644576,37.512679038721146,3.1260565865600953,40.63873562528124,Arkansas,AR
2020-04-28,45,127.96265843142706,1544.9300709368051,0.0,4.277761644766446,0.0,0.0,0.0,0.8226464701473934,0.0,47.137642739445646,2.138880822383223,0.0,1672.8927293682323,0.0,4.935878820884362,3.8664384096927495,8.802317230577112,Arkansas,AR
2020-04-29,46,131.294376635524,1738.1285944509202,0.0,3.82530608618538,16.000473844366805,0.0,0.0,0.7403818231326542,3.372850527604314,51.37427206070473,2.426807086934811,16.000473844366805,1869.4229710864442,16.000473844366805,193.19852351411538,3.3317182040969437,196.53024171821235,Arkansas,AR
2020-04-30,47,133.8857130164883,1856.0549659465496,0.0,3.907570733200119,16.535194049962612,0.0,0.0,0.9460434406695026,3.4962474981264227,53.67768217711743,2.5090717339495505,16.535194049962612,1989.9406789630377,0.5347202055958058,117.92637149562887,2.5913363809642895,120.51770787659315,Arkansas,AR
2020-05-01,48,136.6004463679747,1906.6888561841213,0.0,3.907570733200119,17.028781932051047,0.0,0.0,0.9460434406695026,3.4962474981264227,81.15407428004038,2.6324687044716595,17.028781932051047,2043.2893025520962,0.4935878820884361,50.633890237572075,2.7147333514863985,53.34862358905848,Arkansas,AR
2020-05-02,49,138.69819486685054,1982.9893162902922,0.0,3.907570733200119,17.028781932051047,0.0,0.0,0.8226464701473934,3.4962474981264227,81.72992680914355,3.0026596160379864,17.028781932051047,2121.687511157143,0.0,76.30046010617075,2.0977484988758537,78.3982086050466,Arkansas,AR
2020-05-03,50,141.1250019537854,2034.363588350997,0.0,4.113232350736968,17.56350213764685,0.0,0.0,0.8226464701473934,3.6196444686485316,82.223514691232,3.1260565865600953,17.56350213764685,2175.488590304782,0.5347202055958058,51.37427206070473,2.426807086934811,53.80107914763954,Arkansas,AR
2020-05-04,51,142.23557468848435,2097.0903816997356,0.0,3.7430414391706406,18.015957696227918,0.0,0.0,0.6581171761179149,3.6196444686485316,82.92276419085727,3.3317182040969437,18.015957696227918,2239.32595638822,0.45245555858106645,62.72679334873876,1.1105727346989813,63.837366083437736,Arkansas,AR
2020-05-05,52,143.79860298176442,2103.465891843378,0.0,3.6607767921559016,18.632942548838464,0.0,0.0,0.6581171761179149,3.6607767921559016,83.9510722785415,3.4139828511116836,18.632942548838464,2247.2644948251427,0.6169848526105453,6.3755101436423,1.5630282932800477,7.9385384369223475,Arkansas,AR
2020-05-06,53,146.76013027429502,2280.1703536310383,0.0,2.838130322008508,18.632942548838464,0.0,0.0,0.5758525291031755,3.6607767921559016,86.74807027704264,3.4962474981264227,18.632942548838464,2426.9304839053334,0.0,176.70446178766014,2.961527292530617,179.66598908019077,Arkansas,AR
2020-05-07,54,148.52882018511193,2319.2049286395318,0.0,2.838130322008508,19.00313346040479,0.0,0.0,0.5758525291031755,3.82530608618538,87.32392280614582,3.578512145141162,19.00313346040479,2467.7337488246435,0.3701909115663271,39.034575008493825,1.7686899108168963,40.80326491931072,Arkansas,AR
2020-05-08,55,151.94280303622358,2480.2791074943916,0.0,2.8792626455158774,19.167662754434268,0.0,0.0,0.5758525291031755,3.82530608618538,88.80468645241113,3.6196444686485316,19.167662754434268,2632.2219105306153,0.16452929402947872,161.07417885485967,3.4139828511116836,164.48816170597135,Arkansas,AR
2020-05-09,56,154.1228161821142,2541.196078608806,0.0,2.6324687044716595,19.37332437197112,0.0,0.0,0.5758525291031755,3.948703056707489,122.08073616987322,3.6196444686485316,19.37332437197112,2695.3188947909202,0.20566161753684836,60.9169711144145,2.180013145890593,63.09698426030509,Arkansas,AR
2020-05-10,57,154.1228161821142,2541.196078608806,0.0,2.6324687044716595,19.37332437197112,0.0,0.0,0.5758525291031755,3.948703056707489,122.08073616987322,3.6196444686485316,19.37332437197112,2695.3188947909202,0.0,0.0,0.0,0.0,Arkansas,AR
2020-05-11,58,165.92779302872927,2673.4364986849996,0.0,2.5090717339495505,19.743515283537448,0.0,0.0,0.45245555858106645,4.0309677037222285,129.5256867247071,3.8664384096927495,19.743515283537448,2839.364291713729,0.3701909115663271,132.24042007619352,11.804976846615098,144.0453969228086,Arkansas,AR
2020-05-12,59,171.27499508468733,2726.2504020684623,0.0,2.426807086934811,19.949176901074292,0.0,0.0,0.4935878820884361,4.0309677037222285,132.44608169373035,3.907570733200119,19.949176901074292,2897.5253971531497,0.20566161753684836,52.813903383462666,5.347202055958058,58.16110543942072,Arkansas,AR
2020-05-13,60,171.27499508468733,2840.228070507384,0.0,2.426807086934811,20.44276478316273,0.0,0.0,0.4935878820884361,4.072100027229598,132.44608169373035,3.907570733200119,20.44276478316273,3011.503065592071,0.4935878820884361,113.97766843892138,0.0,113.97766843892138,Arkansas,AR
2020-05-14,61,174.23652237721797,2944.3339813045363,0.0,2.6324687044716595,20.936352665251167,0.0,0.0,0.5347202055958058,4.113232350736968,134.79062413365045,3.9898353802148585,20.936352665251167,3118.5705036817544,0.4935878820884361,104.10591079715265,2.961527292530617,107.06743808968326,Arkansas,AR
2020-05-15,62,183.5735598133909,3169.9036434189516,0.0,2.673601027979029,21.388808223832232,0.0,0.0,0.3701909115663271,4.154364674244338,139.43857668998322,4.0309677037222285,21.388808223832232,3353.4772032323426,0.45245555858106645,225.5696621144153,9.337037436172917,234.90669955058826,Arkansas,AR
2020-05-16,63,188.3037770167384,3169.9036434189516,0.0,2.673601027979029,21.388808223832232,0.0,0.0,0.4113232350736967,4.154364674244338,142.81142721758752,4.0309677037222285,21.388808223832232,3358.2074204356904,0.0,0.0,4.730217203347513,4.730217203347513,Arkansas,AR
